Incident Date,Incident Name,Category,Target Industry,Attack Vector,Attributed Actor Type,Impacted Entities,Financial Cost,APT vs Opportunistic,Source,Source URL,Notes,MITRE ATT&CK ID,Attack Technique,Attack Behavior,Attack Indicator,Artifact,Detection Method,Time to Detect,Detection Coverage,Incident Failure Point,Compliance Status,Contingency/Backup Plan,Disruption Type,Business Impact
2017-06-27,Maersk NotPetya destructive supply chain attack,Physical/Operational Supply Chain,Shipping/Global Logistics,Update mechanism compromise (M.E.Doc accounting software); Wiper/pseudo-ransomware; Credential harvesting + EternalBlue propagation,"Nation-state (Russian GRU / Sandworm, per US, UK and EU attributions)","A.P. Moller-Maersk (76 port terminals, 800 vessels); Merck, FedEx/TNT, Mondelez, Saint-Gobain and hundreds of other firms",$250-300M impact to Maersk; ~$10B global damage estimate,APT,Wired / Maersk public statements / UK NCSC attribution,https://www.wired.com/story/notpetya-cyberattack-ukraine-russia-code-crashed-the-world/,PRE-2020 INCIDENT (2017) - included at user request as the canonical physical/logistics supply chain catastrophe; predates the 2020-2026 window of the rest of the dataset,T1195.002 + T1486 + T1561.002 + T1210 + T1003.001,Supply Chain Compromise: Compromise Software Supply Chain; Data Encrypted for Impact; Disk Structure Wipe; Exploitation of Remote Services; OS Credential Dumping: LSASS Memory,"Sandworm backdoored the update server of Ukrainian M.E.Doc tax software and pushed NotPetya, which harvested credentials from memory and spread via PsExec/WMI and the EternalBlue/EternalRomance SMB exploits, then overwrote the master boot record - encryption was irreversible by design.",M.E.Doc update package delivering perfc.dat; mass LSASS access and PsExec/WMI execution; SMB exploitation traffic on 445/TCP; simultaneous fleet-wide reboots showing a fake CHKDSK screen and MBR ransom note,NotPetya (ExPetr/Nyetya) wiper; EternalBlue/EternalRomance exploits; Mimikatz-derived credential stealer; PsExec,Immediate self-evident detection - screens across offices and terminals went dark within minutes as machines encrypted and rebooted,Minutes (destruction was instantaneous); root-cause tracing to M.E.Doc took days,No,Third-party software update integrity plus unpatched SMB and flat network trust; no offline/immutable domain-controller backups,Insurance dispute over 'act of war' exclusions (NotPetya cyber-insurance litigation); state attribution by US/UK/EU governments; breach notifications by multiple affected multinationals,"No usable offline backups of Active Directory; recovery depended on a single surviving domain-controller backup found in Ghana; 45,000 PCs and 4,000 servers rebuilt from scratch",Operational shutdown,"Maersk's global booking and terminal-operating systems were destroyed, halting container gates at 76 ports and forcing ten days of manual operations, with roughly $250-300M in losses and cascading delays across world trade."
2020-01-01,Trojanized Free Download Manager (Linux),Software Supply Chain,Consumer Software,Publishing infrastructure compromise; Malicious package,Unknown / Not attributed,"Linux users worldwide; victims in Brazil, China, Saudi Arabia, Russia",Not available,Other/Unknown,CNCF TAG Security Catalog,https://securelist.com/backdoored-free-download-manager-linux-malware/110465/,Trojanized FDM from counterfeit Debian repository; active 2020-2022,T1195.002 + T1195.001,Supply Chain Compromise: Compromise Software Supply Chain; Supply Chain Compromise: Compromise Software Dependencies and Development Tools,"Attacker leveraged publishing infrastructure compromise; malicious package against Trojanized Free Download Manager (Linux) to insert or execute unauthorized code in the victim's software supply chain; actor profile: Unknown / Not attributed. Mapped to T1195.002, T1195.001 based on the reported vector.",newly published or renamed package versions with install-time scripts; outbound connections from build/CI hosts; signed artifact whose hash does not match reviewed source; unexpected release outside normal cadence,"Malicious registry package with install-time script (payload varies: infostealer, backdoor, cryptominer)",Third-party security research,Unknown,Unknown,Distribution/publishing infrastructure integrity; Package registry verification,Not reported,Unknown,Backdoor/unauthorized access,"Backdoor/unauthorized access affecting Linux users worldwide; victims in Brazil, China, Saudi Arabia, Russia; no public financial figure. Downstream effect flowed through the compromised component to dependent organizations and users."
2020-01-01,Unimax mobile devices pre-installed malware,Software Supply Chain,Telecommunications/Mobile Devices,Firmware implant,Unknown / Not attributed,Customers via US Government Lifeline Assistance Program; UMX phone users,Not available,Opportunistic,ENISA Threat Landscape for Supply Chain Attacks,https://www.enisa.europa.eu/publications/threat-landscape-for-supply-chain-attacks,Pre-installed unremovable malware on low-cost mobile devices,T1195.003,Supply Chain Compromise: Compromise Hardware Supply Chain,Attacker leveraged firmware implant against Unimax mobile devices pre-installed malware to insert or execute unauthorized code in the victim's software supply chain; actor profile: Unknown / Not attributed. Mapped to T1195.003 based on the reported vector.,unexpected pre-installed applications or persistent system components on shipped devices,Pre-installed firmware/OS-level implant,Third-party security research,Unknown,Unknown,Hardware/firmware provenance verification,Not reported,Unknown,Backdoor/unauthorized access,Backdoor/unauthorized access affecting Customers via US Government Lifeline Assistance Program; UMX phone users; no public financial figure. Downstream effect flowed through the compromised component to dependent organizations and users.
2020-01-09,Android Handsets (1/9/2020),Software Supply Chain,Mobile/Consumer Software,Firmware implant,Unknown / Not attributed,Android Handsets,Not available,Other/Unknown,Atlantic Council Breaking Trust,https://blog.malwarebytes.com/android/2020/01/united-states-government-funded-phones-come-pre-installed-with-unremovable-malware/; https://blog.malwarebytes.com/android/2020/07/we-found-yet-another-phone-with-pre-installed-malware-via-the-lifeline-assistance-program/; https://www.upstreamsystems.com/well-known-malware-committing-click-ad-fraud-low-end-devices-emerging-markets-uncovered-secure-d/,IQT/Breaking Trust dataset,T1195.003,Supply Chain Compromise: Compromise Hardware Supply Chain,Attacker leveraged firmware implant against Android Handsets (1/9/2020) to insert or execute unauthorized code in the victim's software supply chain; actor profile: Unknown / Not attributed. Mapped to T1195.003 based on the reported vector.,unexpected pre-installed applications or persistent system components on shipped devices,Pre-installed firmware/OS-level implant,Third-party security research,Unknown,Unknown,Hardware/firmware provenance verification,Not reported,Unknown,Backdoor/unauthorized access,Backdoor/unauthorized access affecting Android Handsets; no public financial figure. Downstream effect flowed through the compromised component to dependent organizations and users.
2020-02-04,"npm, PyPi, RubyGems.org (2/4/2020)",Software Supply Chain,Open Source/Package Registry,Malicious package,Unknown / Not attributed,"npm, PyPi, RubyGems.org; 0 packages/instances affected",Not available,Other/Unknown,Atlantic Council Breaking Trust,https://arxiv.org/pdf/2002.01139.pdf,"IQT/Breaking Trust dataset. To be conservative, it is assumed that all of the identified packages have been reported elsewhere.",T1195.001,Supply Chain Compromise: Compromise Software Dependencies and Development Tools,"Attacker leveraged malicious package against npm, PyPi, RubyGems.org (2/4/2020) to insert or execute unauthorized code in the victim's software supply chain; actor profile: Unknown / Not attributed. Mapped to T1195.001 based on the reported vector.",newly published or renamed package versions with install-time scripts; outbound connections from build/CI hosts,"Malicious registry package with install-time script (payload varies: infostealer, backdoor, cryptominer)",Third-party security research,Unknown,Unknown,Package registry verification,Not reported,Unknown,Malicious code injection,"Malicious code injection affecting npm, PyPi, RubyGems.org; 0 packages/instances affected; no public financial figure. Downstream effect flowed through the compromised component to dependent organizations and users."
2020-02-27,RubyGems.org (2/27/2020),Software Supply Chain,Open Source/Package Registry,Malicious package,Unknown / Not attributed,RubyGems.org,Not available,Other/Unknown,Atlantic Council Breaking Trust,https://github.com/rubygems/rubygems.org/wiki/Gems-yanked-and-accounts-locked#27-february-2020,IQT/Breaking Trust dataset,T1195.001,Supply Chain Compromise: Compromise Software Dependencies and Development Tools,Attacker leveraged malicious package against RubyGems.org (2/27/2020) to insert or execute unauthorized code in the victim's software supply chain; actor profile: Unknown / Not attributed. Mapped to T1195.001 based on the reported vector.,newly published or renamed package versions with install-time scripts; outbound connections from build/CI hosts,"Malicious registry package with install-time script (payload varies: infostealer, backdoor, cryptominer)",Third-party security research,Unknown,Unknown,Package registry verification,Not reported,Unknown,Malicious code injection,Malicious code injection affecting RubyGems.org; no public financial figure. Downstream effect flowed through the compromised component to dependent organizations and users.
2020-03-09,Octopus Scanner Malware (GitHub repositories),Software Supply Chain,Open Source/Developer Tools,Dev tooling compromise; Malicious package,Unknown / Not attributed,GitHub; 26 open source projects affected; unknown number of developers,Not available,Other/Unknown,CNCF TAG Security Catalog,https://securitylab.github.com/research/octopus-scanner-malware-open-source-supply-chain,Malware designed to enumerate and backdoor NetBeans projects via build process,T1195.001,Supply Chain Compromise: Compromise Software Dependencies and Development Tools,Attacker leveraged dev tooling compromise; malicious package against Octopus Scanner Malware (GitHub repositories) to insert or execute unauthorized code in the victim's software supply chain; actor profile: Unknown / Not attributed. Mapped to T1195.001 based on the reported vector.,newly published or renamed package versions with install-time scripts; outbound connections from build/CI hosts,"Malicious registry package with install-time script (payload varies: infostealer, backdoor, cryptominer)",Third-party security research,Unknown,Unknown,Package registry verification; Developer tooling trust boundary,Not reported,Unknown,Backdoor/unauthorized access,Backdoor/unauthorized access affecting GitHub; 26 open source projects affected; unknown number of developers; no public financial figure. Downstream effect flowed through the compromised component to dependent organizations and users.
2020-04-16,RubyGems.org (4/16/2020),Software Supply Chain,Open Source/Package Registry,Typosquatting,Unknown / Not attributed,RubyGems.org; 725 packages/instances affected,Not available,Other/Unknown,Atlantic Council Breaking Trust,https://blog.reversinglabs.com/blog/mining-for-malicious-ruby-gems,IQT/Breaking Trust dataset,T1195.001,Supply Chain Compromise: Compromise Software Dependencies and Development Tools,Attacker leveraged typosquatting against RubyGems.org (4/16/2020) to insert or execute unauthorized code in the victim's software supply chain; actor profile: Unknown / Not attributed. Mapped to T1195.001 based on the reported vector.,newly published or renamed package versions with install-time scripts; outbound connections from build/CI hosts,"Malicious registry package with install-time script (payload varies: infostealer, backdoor, cryptominer)",Third-party security research,Unknown,Unknown,Package registry verification,Not reported,Unknown,Malicious code injection,Malicious code injection affecting RubyGems.org; 725 packages/instances affected; no public financial figure. Downstream effect flowed through the compromised component to dependent organizations and users.
2020-04-19,RubyGems.org (4/19/2020),Software Supply Chain,Open Source/Package Registry,Typosquatting,Unknown / Not attributed,RubyGems.org,Not available,Other/Unknown,Atlantic Council Breaking Trust,https://github.com/rubygems/rubygems.org/issues/1959,IQT/Breaking Trust dataset,T1195.001,Supply Chain Compromise: Compromise Software Dependencies and Development Tools,Attacker leveraged typosquatting against RubyGems.org (4/19/2020) to insert or execute unauthorized code in the victim's software supply chain; actor profile: Unknown / Not attributed. Mapped to T1195.001 based on the reported vector.,newly published or renamed package versions with install-time scripts; outbound connections from build/CI hosts,"Malicious registry package with install-time script (payload varies: infostealer, backdoor, cryptominer)",Third-party security research,Unknown,Unknown,Package registry verification,Not reported,Unknown,Malicious code injection,Malicious code injection affecting RubyGems.org; no public financial figure. Downstream effect flowed through the compromised component to dependent organizations and users.
2020-05-01,Apache NetBeans projects with malware,Software Supply Chain,Development Platform/Open Source,Malicious package; Code injection,Unknown / Not attributed,NetBeans project users; GitHub users; RAT malware infections,Not available,Other/Unknown,ENISA Threat Landscape for Supply Chain Attacks,https://www.enisa.europa.eu/publications/threat-landscape-for-supply-chain-attacks,NetBeans projects on GitHub contained malware; self-propagating,T1195.001 + T1059,Supply Chain Compromise: Compromise Software Dependencies and Development Tools; Command and Scripting Interpreter,"Attacker leveraged malicious package; code injection against Apache NetBeans projects with malware to insert or execute unauthorized code in the victim's software supply chain; actor profile: Unknown / Not attributed. Mapped to T1195.001, T1059 based on the reported vector.",newly published or renamed package versions with install-time scripts; outbound connections from build/CI hosts; exploit attempts in application logs; unexpected web shells or child processes,"Malicious registry package with install-time script (payload varies: infostealer, backdoor, cryptominer)",Third-party security research,Unknown,Unknown,Package registry verification; Code review and artifact integrity,Not reported,Unknown,Malicious code injection,Malicious code injection affecting NetBeans project users; GitHub users; RAT malware infections; no public financial figure. Downstream effect flowed through the compromised component to dependent organizations and users.
